Country Name,Series Name,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,Building quality control index (0-15),..,..,..,..,..,..,..,..,..,2.5,2.5,2.5
Afghanistan,Cost – Women (% of income per capita),75.2,67.4,84.6,59.5,30.2,26.7,25.8,22.5,14.4,15.1,19,19.9
Afghanistan,Cost to build a warehouse (% of income per capita),208.5,193,200.5,140.9,121.6,107.2,100.8,89.1,83.8,74.4,76.6,82.7
Afghanistan,Cost to enforce a contract (% of claim),29,29,29,29,29,29,29,29,29,29,29,29
Afghanistan,Cost to export: Documentary compliance (USD),..,..,..,..,..,..,..,..,..,344,344,344
Afghanistan,Cost to get electricity (% of income per capita),..,..,..,..,618.2,6179.7,2917.8,2550.7,2368.5,2084,2124,2274.7
Afghanistan,Cost to import (deflated US$ per container),..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,Cost to import: Documentary compliance (USD),..,..,..,..,..,..,..,..,..,900,900,900
Afghanistan,Cost to register property (% of property value),7,7,7,7,4,5,5,5,5,5,5,5
Afghanistan,Cost to start a business (% of income per capita),75.2,67.4,84.6,59.5,30.2,26.7,25.8,22.5,14.4,15.1,19,19.9
Afghanistan,Credit: Strength of legal rights index (0=weak to 10=strong),..,..,..,..,..,..,..,..,9,9,9,9
Afghanistan,Creditor participation index (0-4),..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,Depth of credit information index (0=low to 6=high),..,..,..,..,..,..,..,..,0,0,0,0
Afghanistan,Ease of doing business index (1=easiest to 185=most difficult),..,..,..,..,..,..,..,..,..,..,182,183
Afghanistan,Ease of shareholder suits index (0 to 10),..,..,..,..,..,..,..,..,3,3,3,3
Afghanistan,Extent of conflict of interest regulation index (0-10),..,..,..,..,..,..,..,..,1.7,1.7,1.7,1.7
Afghanistan,Extent of corporate transparency index (0-9),..,..,..,..,..,..,..,..,2,2,2,2
Afghanistan,Extent of director liability index (0 to 10),1,1,1,1,1,1,1,1,1,1,1,1
Afghanistan,Extent of disclosure index (0 to 10),1,1,1,1,1,1,1,1,1,1,1,1
Afghanistan,Extent of shareholder governance index (0-10),..,..,..,..,..,..,..,..,0.7,0.7,0.7,0.7
Afghanistan,Extent of shareholder rights index (0-10.5),..,..,..,..,..,..,..,..,0,0,0,0
Afghanistan,Labor tax and contributions (%),..,..,..,..,..,..,..,..,0,0,0,0
Afghanistan,Minimum paid-in capital required to start a business (% of income per capita),0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,Other taxes (%),..,..,..,..,..,..,..,..,..,36.3,36.3,36.3
Afghanistan,Outcome (0 as piecemeal sale and 1 as going concern),-1,-1,..,..,..,..,0,0,0,0,0,0
Afghanistan,Postfiling index (0-100),..,..,..,..,..,..,..,..,..,..,0.4,0.5
Afghanistan,Private credit bureau coverage (% of adults),0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,Procedures required to build a warehouse (number),13,13,13,13,13,13,13,13,13,13,13,13
Afghanistan,Procedures required to connect to electricity (number),..,..,..,..,4,5,6,6,6,6,6,6
Afghanistan,Procedures required to enforce a contract (number),..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,Procedures required to register property (number),11,11,9,9,9,9,9,9,9,9,9,9
Afghanistan,Procedures required to start a business - Women (number),5,5,5,5,5,5,5,5,4,4,4,4
Afghanistan,Procedures required to start a business (number),4,4,4,4,4,4,4,4,3,3,3,3
Afghanistan,Profit tax (%),36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,35.8,36.5,36.5,48.3
Afghanistan,Public credit registry coverage (% of adults),0,0,0,0,0,0,0,0,0,0,0.5,0.8
Afghanistan,Quality of the land administration index (0-30),..,..,..,..,..,..,..,..,..,3,3,3
Afghanistan,Reliability of supply and transparency of tariff index (0-8),..,..,..,..,..,..,..,..,..,0,0,0
Afghanistan,Resolving Insolvency: cost (% of estate),-1,-1,25,25,25,25,25,25,25,25,25,25
Afghanistan,Resolving Insolvency: recovery rate (cents on the dollar),0,0,25.1,24.3,24.3,26,26.5,26.4,26.5,26.4,26.5,26.5
Afghanistan,Strength of governance structure index (0-10.5),..,..,..,..,..,..,..,..,0.7,0.7,0.7,0.7
Afghanistan,Strength of insolvency framework index (0-16),..,..,..,..,..,..,..,..,3,3,3,3
Afghanistan,Strength of investor protection index (0 to 10),..,..,..,..,..,..,..,..,1.2,1.2,1.2,1.2
Afghanistan,Tax payments (number),17,17,20,20,20,20,20,20,20,20,20,20
Afghanistan,Time required to build a warehouse (days),360,360,360,360,360,360,360,360,356,356,356,356
Afghanistan,Time required to connect to electricity (days),..,..,..,..,424,196,114,114,114,114,114,114
Afghanistan,Time required to enforce a contract (days),1642,1642,1642,1642,1642,1642,1642,1642,1642,1642,1642,1642
Afghanistan,Time required to register property (days),252,252,250,250,250,250,250,250,250,250,250,250
Afghanistan,Time required to start a business - Women (days),10,10,10,10,8,8,8,8,6,8,8,8
Afghanistan,Time required to start a business (days),9,9,9,9,7,7,7,7,5,7,7,7
Afghanistan,Time to export: Documentary compliance (hours),..,..,..,..,..,..,..,..,..,243,243,228
Afghanistan,Time to import: Documentary compliance (hours),..,..,..,..,..,..,..,..,..,336,336,324
Afghanistan,Time to prepare and pay taxes (hours),275,275,275,275,275,275,275,275,275,275,275,275
Afghanistan,Time to resolve insolvency (years),-1,-1,..,..,..,..,..,..,..,2,2,2
Afghanistan,Total tax rate (% of profit),36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,35.8,36.5,36.5,48.3
Afghanistan,Trade: Cost to export (US$ per container),..,..,..,..,..,..,..,..,..,511,511,453
Afghanistan,Trade: Cost to import (US$ per container),..,..,..,..,..,..,..,..,..,850,850,750
Afghanistan,Trade: Time to export (day),..,..,..,..,..,..,..,..,..,48,48,48
Afghanistan,Trade: Time to import (days),..,..,..,..,..,..,..,..,..,96,96,96
Albania,Building quality control index (0-15),..,..,..,..,..,..,..,..,..,12,0,13
Albania,Cost – Women (% of income per capita),31.3,22.5,46.1,42.5,32.2,31.8,29.3,22.4,21.2,10.1,10.3,10.1
Albania,Cost to build a warehouse (% of income per capita),3.5,9.3,3.4,3.4,3.4,3.4,-1,-1,-1,3.3,-1,3.3
Albania,Cost to enforce a contract (% of claim),38.7,38.7,38.7,38.7,38.7,35.7,35.7,35.7,35.7,34.9,34.9,34.9
Albania,Cost to export: Documentary compliance (USD),..,..,..,..,..,..,..,..,..,10,10,10
